FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Population 25 Years and Over,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Diploma,Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better
15001991000,"Census Tract 9910, Hawaii County, Hawaii",ACSSF,hi,140,0,332,15,1,991000,14000US15001991000,Census Tract 9910,,0,0,0,0,,,
15001991100,"Census Tract 9911, Hawaii County, Hawaii",ACSSF,hi,140,0,333,15,1,991100,14000US15001991100,Census Tract 9911,,0,0,0,0,,,
15001991200,"Census Tract 9912, Hawaii County, Hawaii",ACSSF,hi,140,0,334,15,1,991200,14000US15001991200,Census Tract 9912,,0,0,0,0,,,
15001991300,"Census Tract 9913, Hawaii County, Hawaii",ACSSF,hi,140,0,335,15,1,991300,14000US15001991300,Census Tract 9913,,0,0,0,0,,,
15001991400,"Census Tract 9914, Hawaii County, Hawaii",ACSSF,hi,140,0,336,15,1,991400,14000US15001991400,Census Tract 9914,,0,0,0,0,,,
15001991500,"Census Tract 9915, Hawaii County, Hawaii",ACSSF,hi,140,0,337,15,1,991500,14000US15001991500,Census Tract 9915,,0,0,0,0,,,
15001991600,"Census Tract 9916, Hawaii County, Hawaii",ACSSF,hi,140,0,338,15,1,991600,14000US15001991600,Census Tract 9916,,0,0,0,0,,,
15001991700,"Census Tract 9917, Hawaii County, Hawaii",ACSSF,hi,140,0,339,15,1,991700,14000US15001991700,Census Tract 9917,,0,0,0,0,,,
15003000107,"Census Tract 1.07, Honolulu County, Hawaii",ACSSF,hi,140,0,340,15,3,107,14000US15003000107,Census Tract 1.07,,1933,31,743,1159,1.6,38.44,59.96
15003000108,"Census Tract 1.08, Honolulu County, Hawaii",ACSSF,hi,140,0,341,15,3,108,14000US15003000108,Census Tract 1.08,,2505,24,926,1555,0.96,36.97,62.08
15003000110,"Census Tract 1.10, Honolulu County, Hawaii",ACSSF,hi,140,0,342,15,3,110,14000US15003000110,Census Tract 1.10,,2856,29,1245,1582,1.02,43.59,55.39
15003000114,"Census Tract 1.14, Honolulu County, Hawaii",ACSSF,hi,140,0,343,15,3,114,14000US15003000114,Census Tract 1.14,,1125,39,324,762,3.47,28.8,67.73
15003000115,"Census Tract 1.15, Honolulu County, Hawaii",ACSSF,hi,140,0,344,15,3,115,14000US15003000115,Census Tract 1.15,,1880,21,668,1191,1.12,35.53,63.35
